code,forename,surname,vel,skill,craziness,tyre_life,Q3
HAM,Lewis,Hamilton,10,5,3,1.0,2
BOT,Valtteri,Bottas,10,4.5,6,1.0,3
VER,Max,Verstappen,9.5,5,7,1.0,1
PER,Sergio,Perez,9.5,4.5,2,1.0,4
SAI,Carlos,Sainz,9,3.5,4,1.0,7
LEC,Charles,Leclerc,9,4,7,1.0,6
RIC,Daniel,Ricciardo,8,3.5,2,1.0,8
NOR,Lando,Norris,8,4,3,1.0,5
OCO,Esteban,Ocon,7.5,2.5,1,1.0,11
ALO,Fernando,Alonso,7.5,3,1,1.0,10
TSU,Yuki,Tsunoda,7,2,6,1.0,14
GAS,Pierre,Gasly,7,3,3,1.0,9
STR,Lance,Stroll,6.5,2,6,1.0,13
VET,Sebastian,Vettel,6.5,2.5,2,1.0,12
RUS,George,Russell,5.5,2,4,1.0,15
LAT,Nicholas,Latifi,5.5,1.5,6,1.0,17
RAI,Kimi,Raikkonen,5,4,4,1.0,16
GIO,Antonio,Giovinazzi,5,1.5,2,1.0,18
MAZ,Nikita,Mazepin,4,1,5,1.0,20
MSC,Mick,Schumacher,4,1.5,7,1.0,19